Base Unit of Measure,Unrestricted,Storage Location,Material Number,Material Description,Plant,Special Stock,Special stock number
EA,1,PROD,1140203A-X201D,PL 22.2 x 508 x 926,HS02,Q,S-1140203-2-02-3-01
EA,2,PROD,1140203A-X201H,PL 28.6 x 226 x 926,HS02,Q,S-1140203-2-02-3-01
EA,2,PROD,1140203B-X518C,PL 20.6 x 220 x 1775,HS01,Q,S-1140203-2-07-3-01
EA,11,PROD,1140203B-X563P,PL 9.5 x 360 x 377,HS01,Q,S-1140203-2-07-3-01
EA,5,PROD,1140203B-X567C,PL 9.5 x 360 x 377,HS01,Q,S-1140203-2-07-3-01
EA,2,PROD,1140203B-X567N,PL 9.5 x 360 x 377,HS01,Q,S-1140203-2-07-3-01
EA,1,PROD,1140203B-X601C,PL 20.6 x 226 x 926,HS01,Q,S-1140203-2-08-3-01
EA,18,PROD,1150031F-MP1-A,PL 1 x 12 x 1'-11,HS01,Q,S-1150031-2-03-3-08
EA,9,PROD,1150031F-MP2-A,PL 2 1/4 x 13 x 2'-2,HS01,Q,S-1150031-2-03-3-08
EA,9,PROD,1150031F-XSP1-B,PL 2 3/16 x 10 1/2 x 1'-11,HS01,Q,S-1150031-2-03-3-01
EA,4,PROD,1150031F-XSP2-B,PL 2 1/8 x 10 1/2 x 1'-11,HS01,Q,S-1150031-2-03-3-01
EA,5,PROD,1150031F-XSP3-B,PL 2 1/16 x 10 1/2 x 1'-11,HS01,Q,S-1150031-2-03-3-01
EA,9,PROD,1150031F-XSP4-B,PL 2 5/8 x 13 x 2'-2,HS01,Q,S-1150031-2-03-3-01
EA,7,PROD,1150132B-X108F,PL 1/2 x 7 1/2 x 9'-6,HS01,Q,S-1150132-2-01-3-01
EA,15,PROD,1150132B-X112C,PL 3/8 x 4 x 0'-5,HS01,Q,S-1150132-2-02-3-01
EA,32,PROD,1150132B-X112G,PL 1/2 x 7 x 0'-5,HS02,Q,S-1150132-2-01-3-01
EA,4,PROD,1150132B-X116N,PL 1 1/2 x 7 x 1'-5 1/2,HS01,Q,S-1150132-2-02-3-01
EA,19,PROD,1150132C-M307A,PL 1 x 41 13/16 x 1'-11 9/16,HS01,Q,S-1150132-2-03-3-11
EA,11,PROD,1150132C-M307A,PL 1 x 41 13/16 x 1'-11 9/16,HS01,Q,S-1150132-2-04-3-11
EA,19,PROD,1150132C-M307B,PL 1 x 41 13/16 x 1'-11 9/16,HS01,Q,S-1150132-2-03-3-11
EA,11,PROD,1150132C-M307B,PL 1 x 41 13/16 x 1'-11 9/16,HS01,Q,S-1150132-2-04-3-11
EA,1,PROD,1150132C-M307G,PL 1 x 36 13/16 x 1'-11 15/16,HS01,Q,S-1150132-2-03-3-11
EA,1,PROD,1150132C-M307G,PL 1 x 36 13/16 x 1'-11 15/16,HS01,Q,S-1150132-2-04-3-11
EA,1,PROD,1150132C-M307H,PL 1 x 36 13/16 x 1'-11 15/16,HS01,Q,S-1150132-2-03-3-11
EA,1,PROD,1150132C-M307H,PL 1 x 36 13/16 x 1'-11 15/16,HS01,Q,S-1150132-2-04-3-11
EA,39,PROD,1150132C-M307P,PL 1 1/2 x 7 x 1'-5,HS01,Q,S-1150132-2-03-3-11
EA,23,PROD,1150132C-M307P,PL 1 1/2 x 7 x 1'-5,HS01,Q,S-1150132-2-04-3-11
EA,1,PROD,1150132C-M307W,PL 1 1/2 x 7 x 1'-5,HS01,Q,S-1150132-2-03-3-11
EA,1,PROD,1150132C-M307W,PL 1 1/2 x 7 x 1'-5,HS01,Q,S-1150132-2-04-3-11
EA,2,PROD,1150132C-X301C,PL 9/16 x 22 1/4 x 8'-9 1/2,HS01,Q,S-1150132-2-04-3-01
EA,1,PROD,1150132C-X302H,PL 5/8 x 20 x 3'-7 1/4,HS01,Q,S-1150132-2-04-3-01
EA,1,PROD,1150132C-X302K,PL 9/16 x 20 x 2'-5 1/4,HS01,Q,S-1150132-2-04-3-01
EA,2,PROD,1150132C-X303P,PL 3/4 x 9 x 3'-7 1/4,HS01,Q,S-1150132-2-04-3-01
EA,2,PROD,1150132C-X304A,PL 5/8 x 9 x 2'-5 1/4,HS01,Q,S-1150132-2-04-3-01
EA,1,PROD,1150132C-X306A,PL 1 1/2 x 13 x 9'-6,HS01,Q,S-1150132-2-04-3-01
EA,1,PROD,1150132C-X306C,PL 1 1/2 x 13 x 9'-6,HS01,Q,S-1150132-2-04-3-01
EA,4,PROD,1150132C-X307F,PL 1 1/2 x 13 x 9'-6,HS01,Q,S-1150132-2-04-3-01
EA,2,PROD,1150132C-X308B,PL 1/2 x 7 1/2 x 9'-6,HS01,Q,S-1150132-2-04-3-01
EA,2,PROD,1150132C-X308D,PL 5/8 x 9 x 9'-6,HS01,Q,S-1150132-2-04-3-01
EA,2,PROD,1150132C-X308F,PL 5/8 x 9 x 9'-6,HS01,Q,S-1150132-2-04-3-01
EA,2,PROD,1150132C-X309A,PL 5/8 x 9 x 9'-6,HS01,Q,S-1150132-2-04-3-01
EA,2,PROD,1150132C-X309C,PL 1 x 9 x 9'-6,HS01,Q,S-1150132-2-04-3-01
EA,2,PROD,1150132C-X309D,PL 1 x 9 x 9'-6,HS01,Q,S-1150132-2-04-3-01
EA,2,PROD,1150132C-X310A,PL 5/8 x 9 x 9'-6,HS01,Q,S-1150132-2-04-3-01
EA,1,PROD,1150132C-X310C,PL 1/2 x 7 x 0'-6,HS01,Q,S-1150132-2-04-3-01
EA,6,PROD,1150132C-X311F,PL 5/8 x 9 x 9'-6,HS01,Q,S-1150132-2-04-3-01
EA,2,PROD,1150132C-X312A,PL 1 x 9 x 9'-6,HS01,Q,S-1150132-2-04-3-01
EA,12,PROD,1150132C-X312B,PL 3/8 x 4 x 0'-5,HS01,Q,S-1150132-2-04-3-01
EA,1,PROD,1150132C-X313AB,PL 1/2 x 2 x 1'-2 5/16,HS01,Q,S-1150132-2-04-3-01
EA,1,PROD,1150132C-X313F,PL 1 x 1 x 2'-4,HS01,Q,S-1150132-2-04-3-01
EA,1,PROD,1150132C-X313Y,PL 1/2 x 2 x 1'-2 5/16,HS01,Q,S-1150132-2-04-3-01
EA,16,PROD,1150132D-X518A,PL 1 x 11 x 3'-0,HS01,Q,S-1150132-2-06-3-01
EA,4,PROD,1150132D-X518M,PL 1/2 x 7 x 0'-5,HS01,Q,S-1150132-2-06-3-01
EA,12,PROD,1150831A-X1C,PL 5/8 x 9 1/4 x 5'-9,HS01,Q,D-1150831-10453
EA,8,PROD,1150831A-X1C,PL 5/8 x 9 1/4 x 5'-9,HS01,Q,D-1150831-10489
EA,5,PROD,1160012A-M14-A,PL 1 x 15 x 5'-9,HS01,Q,S-1160012-2-03-3-13
EA,11,PROD,1160012A-X3B,PL 1 x 9 13/16 x 3'-3 3/4,HS01,Q,S-1160012-2-03-3-01
EA,1,PROD,1160012A-X3D,PL 1 1/4 x 12 x 2'-7,HS01,Q,S-1160012-2-02-3-01
EA,1,PROD,1160012A-X3D,PL 1 1/4 x 12 x 2'-7,HS01,Q,S-1160012-2-03-3-01
EA,6,PROD,1160012A-X3G,PL 1 x 9 13/16 x 3'-3 3/4,HS01,Q,S-1160012-2-03-3-01
EA,10,PROD,1160012A-X3H,PL 1 1/4 x 12 x 2'-7,HS01,Q,S-1160012-2-02-3-01
EA,15,PROD,1160012A-X3H,PL 1 1/4 x 12 x 2'-7,HS01,Q,S-1160012-2-03-3-01
EA,24,PROD,1160012A-X3K,PL 1 x 8 13/16 x 1'-2 13/16,HS01,Q,S-1160012-2-03-3-01
EA,56,PROD,1160012A-X3M,PL 1 1/4 x 12 x 0'-7,HS01,Q,S-1160012-2-03-3-01
EA,24,PROD,1160012A-X3N,PL 1 x 8 13/16 x 1'-2 13/16,HS01,Q,S-1160012-2-03-3-01
EA,1,PROD,1160012A-X3Y,PL 1 1/4 x 12 x 2'-7,HS01,Q,S-1160012-2-02-3-01
EA,1,PROD,1160012A-X3Y,PL 1 1/4 x 12 x 2'-7,HS01,Q,S-1160012-2-03-3-01
EA,1,PROD,1160012A-X6A,PL 1 x 9 13/16 x 3'-3 3/4,HS01,Q,S-1160012-2-03-3-01
EA,1,PROD,1160012B-X1D,PL 1 x 7 1/2 x 2'-4,HS01,Q,S-1160012-2-06-3-01
EA,12,PROD,1160012B-X3H,PL 1 1/4 x 12 x 2'-7,HS01,Q,S-1160012-2-04-3-01
EA,1,PROD,1160018A-X1B,PL 3/4 x 18 x 5'-10 1/2,HS01,Q,S-1160018-2-01-3-01
EA,11,PROD,1160083A-M3-MA,PL 1 x 12 x 1'-8,HS01,Q,S-1160083-2-01-3-13
EA,1,PROD,1160085K-206-101B1,PL 3 3/4 x 30 x 6'-1 13/16,HS01,Q,S-1160085-2-04-3-06
EA,1,PROD,1160085K-206-101T1,PL 3 3/4 x 30 x 5'-7 13/16,HS01,Q,S-1160085-2-04-3-06
EA,1,PROD,1160085K-206-101W1,PL 1 1/2 x 37 1/2 x 8'-9 9/16,HS01,Q,S-1160085-2-04-3-06
EA,2,PROD,1160085K-206-159-A,PL 3 3/4 x 32 11/16 x 7'-9 3/4,HS01,Q,S-1160085-2-04-3-13
EA,2,PROD,1160085K-206-160-A,PL 3 3/4 x 32 11/16 x 7'-9 3/4,HS01,Q,S-1160085-2-04-3-13
EA,7,PROD,1160085K-P12458,PL 3/8 x 5 1/2 x 0'-5 1/2,HS01,Q,S-1160085-2-04-3-01
EA,3,PROD,1160085K-P12458,PL 3/8 x 5 1/2 x 0'-5 1/2,HS01,Q,S-1160085-2-04-3-06
EA,1,PROD,1160085K-P12461,PL 1 x 14 1/4 x 3'-1 7/16,HS01,Q,S-1160085-2-04-3-01
EA,1,PROD,1160085K-P12461,PL 1 x 14 1/4 x 3'-1 7/16,HS01,Q,S-1160085-2-04-3-06
EA,2,PROD,1160085K-P13135,PL 3 x 30 x 3'-3 1/2,HS01,Q,S-1160085-2-04-3-06
EA,8,PROD,1160085K-P3189,PL 3/8 x 4 x 0'-4,HS01,Q,S-1160085-2-04-3-01
EA,4,PROD,1160085K-P3189,PL 3/8 x 4 x 0'-4,HS01,Q,S-1160085-2-04-3-06
EA,1,PROD,1160105C-FG12A-B1,PL 2 1/2 x 18 x 50'-4 1/2,HS01,Q,S-1160105-2-05-3-01
EA,1,PROD,1160105C-FG12A-B2,PL 2 1/2 x 18 x 45'-0 1/2,HS01,Q,S-1160105-2-05-3-01
EA,1,PROD,1160105C-FG12A-W1,PL 3/4 x 34 x 44'-7 1/4,HS01,Q,S-1160105-2-05-3-01
EA,1,PROD,1160105C-FG12A-W2,PL 3/4 x 34 x 50'-10 3/16,HS01,Q,S-1160105-2-05-3-01
EA,1,PROD,1160105C-FG12B-B1,PL 2 1/2 x 18 x 63'-4 3/4,HS01,Q,S-1160105-2-05-3-01
EA,1,PROD,1160105C-FG12B-T1,PL 2 1/2 x 18 x 63'-4 13/16,HS01,Q,S-1160105-2-05-3-01
EA,1,PROD,1160105C-FG12B-W1,PL 3/4 x 34 x 63'-4 7/8,HS01,Q,S-1160105-2-05-3-01
EA,1,PROD,1160105C-FG13A-B1,PL 2 1/2 x 18 x 50'-9 1/2,HS01,Q,S-1160105-2-05-3-01
EA,1,PROD,1160105C-FG13A-B2,PL 2 1/2 x 18 x 44'-7 7/16,HS01,Q,S-1160105-2-05-3-01
EA,1,PROD,1160105C-FG13A-W1,PL 3/4 x 34 x 44'-7 1/4,HS01,Q,S-1160105-2-05-3-01
EA,1,PROD,1160105C-FG13A-W2,PL 3/4 x 34 x 50'-10 3/16,HS01,Q,S-1160105-2-05-3-01
EA,1,PROD,1160105C-FG13B-B1,PL 2 1/2 x 18 x 63'-4 3/4,HS01,Q,S-1160105-2-05-3-01
EA,1,PROD,1160105C-FG13B-T1,PL 2 1/2 x 18 x 63'-4 3/4,HS01,Q,S-1160105-2-05-3-01
EA,1,PROD,1160105C-FG13B-W1,PL 3/4 x 34 x 63'-4 13/16,HS01,Q,S-1160105-2-05-3-01
EA,1,PROD,1160105C-FG14A-B1,PL 2 1/2 x 18 x 50'-9 1/2,HS01,Q,S-1160105-2-05-3-01
EA,1,PROD,1160105C-FG14A-B2,PL 2 1/2 x 18 x 48'-4 7/16,HS01,Q,S-1160105-2-05-3-01
EA,1,PROD,1160105C-FG14A-W1,PL 3/4 x 34 x 48'-4 3/16,HS01,Q,S-1160105-2-05-3-01
EA,1,PROD,1160105C-FG14A-W2,PL 3/4 x 34 x 50'-10 3/16,HS01,Q,S-1160105-2-05-3-01
EA,1,PROD,1160105C-FG14B-B1,PL 2 1/2 x 18 x 59'-7 3/4,HS01,Q,S-1160105-2-05-3-01
EA,1,PROD,1160105C-FG14B-T1,PL 2 1/2 x 18 x 59'-7 13/16,HS01,Q,S-1160105-2-05-3-01
EA,1,PROD,1160105C-FG14B-W1,PL 3/4 x 34 x 59'-7 7/8,HS01,Q,S-1160105-2-05-3-01
EA,1,PROD,1160105C-FG15A-B1,PL 2 1/2 x 18 x 51'-10 1/2,HS01,Q,S-1160105-2-05-3-01
EA,1,PROD,1160105C-FG15A-B2,PL 2 1/2 x 18 x 37'-6 1/2,HS01,Q,S-1160105-2-05-3-01
EA,1,PROD,1160105C-FG15A-W1,PL 3/4 x 34 x 37'-6 5/16,HS01,Q,S-1160105-2-05-3-01
EA,1,PROD,1160105C-FG15A-W2,PL 3/4 x 34 x 51'-11 5/16,HS01,Q,S-1160105-2-05-3-01
EA,1,PROD,1160105C-FG15B-B1,PL 2 1/2 x 18 x 69'-4 3/4,HS01,Q,S-1160105-2-05-3-01
EA,1,PROD,1160105C-FG15B-T1,PL 2 1/2 x 18 x 69'-4 3/4,HS01,Q,S-1160105-2-05-3-01
EA,1,PROD,1160105C-FG15B-W1,PL 3/4 x 34 x 69'-4 13/16,HS01,Q,S-1160105-2-05-3-01
EA,1,PROD,1160105C-FG6A-B1,PL 2 1/2 x 18 x 50'-6 1/2,HS01,Q,S-1160105-2-04-3-01
EA,1,PROD,1160105C-FG6A-B2,PL 2 1/2 x 18 x 44'-10 3/8,HS01,Q,S-1160105-2-04-3-01
EA,1,PROD,1160105C-FG6A-W1,PL 3/4 x 34 x 45'-7 1/8,HS01,Q,S-1160105-2-04-3-01
EA,1,PROD,1160105C-FG6A-W2,PL 3/4 x 34 x 49'-9 15/16,HS01,Q,S-1160105-2-04-3-01
EA,1,PROD,1160105C-FG7A-B1,PL 2 1/2 x 18 x 50'-9 1/2,HS01,Q,S-1160105-2-04-3-01
EA,1,PROD,1160105C-FG7A-B2,PL 2 1/2 x 18 x 44'-7 3/8,HS01,Q,S-1160105-2-04-3-01
EA,1,PROD,1160105C-FG7A-W1,PL 3/4 x 34 x 44'-7 1/8,HS01,Q,S-1160105-2-04-3-01
EA,1,PROD,1160105C-FG7A-W2,PL 3/4 x 34 x 50'-9 15/16,HS01,Q,S-1160105-2-04-3-01
EA,1,PROD,1160105C-FG8A-B1,PL 2 1/2 x 18 x 50'-9 1/2,HS01,Q,S-1160105-2-04-3-01
EA,1,PROD,1160105C-FG8A-B2,PL 2 1/2 x 18 x 38'-7 3/8,HS01,Q,S-1160105-2-04-3-01
EA,1,PROD,1160105C-FG8A-W1,PL 3/4 x 34 x 38'-7 3/16,HS01,Q,S-1160105-2-04-3-01
EA,1,PROD,1160105C-FG8A-W2,PL 3/4 x 34 x 50'-10,HS01,Q,S-1160105-2-04-3-01
EA,1,PROD,1160105C-FG9A-B1,PL 2 1/2 x 18 x 52'-0 1/2,HS01,Q,S-1160105-2-04-3-01
EA,1,PROD,1160105C-FG9A-B2,PL 2 1/2 x 18 x 43'-4 3/8,HS01,Q,S-1160105-2-04-3-01
EA,1,PROD,1160105C-FG9A-W1,PL 3/4 x 34 x 44'-7 3/16,HS01,Q,S-1160105-2-04-3-01
EA,1,PROD,1160105C-FG9A-W2,PL 3/4 x 34 x 50'-10 1/16,HS01,Q,S-1160105-2-04-3-01
EA,1,PROD,1160105C-FG9B-B1,PL 2 1/2 x 18 x 63'-4 13/16,HS01,Q,S-1160105-2-04-3-01
EA,1,PROD,1160105C-FG9B-T1,PL 2 1/2 x 18 x 63'-4 7/8,HS01,Q,S-1160105-2-04-3-01
EA,1,PROD,1160105C-FG9B-W1,PL 3/4 x 34 x 63'-5 1/16,HS01,Q,S-1160105-2-04-3-01
EA,15,PROD,1160105C-FM1-A,PL 1 x 15 1/2 x 12'-0,HS01,Q,S-1160105-2-04-3-13
EA,15,PROD,1160105C-FM1-A,PL 1 x 15 1/2 x 12'-0,HS01,Q,S-1160105-2-05-3-13
EA,3,PROD,1160105C-FM2-A,PL 1 x 15 1/2 x 12'-0,HS01,Q,S-1160105-2-04-3-13
EA,3,PROD,1160105C-FM2-A,PL 1 x 15 1/2 x 12'-0,HS01,Q,S-1160105-2-05-3-13
EA,6,PROD,1160105C-FPD10-A,PL 9/16 x 37 x 1'-11,HS01,Q,S-1160105-2-04-3-06
EA,5,PROD,1160105C-FPD10-A,PL 9/16 x 37 x 1'-11,HS01,Q,S-1160105-2-05-3-06
EA,12,PROD,1160105C-FPD10-B,PL 1 x 15 1/2 x 1'-11,HS01,Q,S-1160105-2-04-3-06
EA,10,PROD,1160105C-FPD10-B,PL 1 x 15 1/2 x 1'-11,HS01,Q,S-1160105-2-05-3-06
EA,5,PROD,1160105C-FPD11-A,PL 9/16 x 37 x 1'-11,HS01,Q,S-1160105-2-04-3-06
EA,5,PROD,1160105C-FPD11-A,PL 9/16 x 37 x 1'-11,HS01,Q,S-1160105-2-05-3-06
EA,10,PROD,1160105C-FPD11-B,PL 1 x 15 1/2 x 1'-11,HS01,Q,S-1160105-2-04-3-06
EA,10,PROD,1160105C-FPD11-B,PL 1 x 15 1/2 x 1'-11,HS01,Q,S-1160105-2-05-3-06
EA,5,PROD,1160105C-FPD12-A,PL 9/16 x 37 x 1'-11,HS01,Q,S-1160105-2-04-3-06
EA,5,PROD,1160105C-FPD12-A,PL 9/16 x 37 x 1'-11,HS01,Q,S-1160105-2-05-3-06
EA,10,PROD,1160105C-FPD12-B,PL 1 x 15 1/2 x 1'-11,HS01,Q,S-1160105-2-04-3-06
EA,10,PROD,1160105C-FPD12-B,PL 1 x 15 1/2 x 1'-11,HS01,Q,S-1160105-2-05-3-06
EA,1,PROD,1160105C-FPD13-A,PL 9/16 x 37 x 1'-11,HS01,Q,S-1160105-2-04-3-06
EA,1,PROD,1160105C-FPD13-A,PL 9/16 x 37 x 1'-11,HS01,Q,S-1160105-2-05-3-06
EA,1,PROD,1160105C-FPD13-B,PL 1 x 15 1/2 x 1'-11,HS01,Q,S-1160105-2-04-3-06
EA,1,PROD,1160105C-FPD13-B,PL 1 x 15 1/2 x 1'-11,HS01,Q,S-1160105-2-05-3-06
EA,1,PROD,1160105C-FPD13-C,PL 1 x 15 1/2 x 1'-9 1/8,HS01,Q,S-1160105-2-04-3-06
EA,1,PROD,1160105C-FPD13-C,PL 1 x 15 1/2 x 1'-9 1/8,HS01,Q,S-1160105-2-05-3-06
EA,1,PROD,1160105C-FPD14-A,PL 9/16 x 37 x 1'-11,HS01,Q,S-1160105-2-04-3-06
EA,1,PROD,1160105C-FPD14-A,PL 9/16 x 37 x 1'-11,HS01,Q,S-1160105-2-05-3-06
EA,1,PROD,1160105C-FPD14-B,PL 1 x 15 1/2 x 1'-11,HS01,Q,S-1160105-2-04-3-06
EA,1,PROD,1160105C-FPD14-B,PL 1 x 15 1/2 x 1'-11,HS01,Q,S-1160105-2-05-3-06
EA,1,PROD,1160105C-FPD14-C,PL 1 x 15 1/2 x 1'-9 1/8,HS01,Q,S-1160105-2-04-3-06
EA,1,PROD,1160105C-FPD14-C,PL 1 x 15 1/2 x 1'-9 1/8,HS01,Q,S-1160105-2-05-3-06
EA,9,PROD,1160105C-FPD7-A,PL 9/16 x 37 x 1'-11,HS01,Q,S-1160105-2-04-3-06
EA,9,PROD,1160105C-FPD7-A,PL 9/16 x 37 x 1'-11,HS01,Q,S-1160105-2-05-3-06
EA,18,PROD,1160105C-FPD7-B,PL 1 x 15 1/2 x 1'-11,HS01,Q,S-1160105-2-04-3-06
EA,18,PROD,1160105C-FPD7-B,PL 1 x 15 1/2 x 1'-11,HS01,Q,S-1160105-2-05-3-06
EA,9,PROD,1160105C-FPD8-A,PL 9/16 x 37 x 1'-11,HS01,Q,S-1160105-2-04-3-06
EA,9,PROD,1160105C-FPD8-A,PL 9/16 x 37 x 1'-11,HS01,Q,S-1160105-2-05-3-06
EA,18,PROD,1160105C-FPD8-B,PL 1 x 15 1/2 x 1'-11,HS01,Q,S-1160105-2-04-3-06
EA,18,PROD,1160105C-FPD8-B,PL 1 x 15 1/2 x 1'-11,HS01,Q,S-1160105-2-05-3-06
EA,9,PROD,1160105C-FPD9-A,PL 9/16 x 37 x 1'-11,HS01,Q,S-1160105-2-04-3-06
EA,9,PROD,1160105C-FPD9-A,PL 9/16 x 37 x 1'-11,HS01,Q,S-1160105-2-05-3-06
EA,18,PROD,1160105C-FPD9-B,PL 1 x 15 1/2 x 1'-11,HS01,Q,S-1160105-2-04-3-06
EA,18,PROD,1160105C-FPD9-B,PL 1 x 15 1/2 x 1'-11,HS01,Q,S-1160105-2-05-3-06
EA,34,PROD,1160105C-M14-A,PL 1/2 x 7 x 0'-8 1/2,HS01,Q,S-1160105-2-04-3-13
EA,36,PROD,1160105C-M14-A,PL 1/2 x 7 x 0'-8 1/2,HS01,Q,S-1160105-2-05-3-13
EA,57,PROD,1160105C-M1AF,PL 1/2 x 12 3/4 x 1'-2,HS01,Q,S-1160105-2-03-3-05
EA,21,PROD,1160105C-M1AG,PL 1/2 x 14 x 1'-2 1/2,HS01,Q,S-1160105-2-03-3-05
EA,6,PROD,1160105C-M1C,PL 9/16 x 12 x 1'-0 3/4,HS01,Q,S-1160105-2-04-3-05
EA,6,PROD,1160105C-M1C,PL 9/16 x 12 x 1'-0 3/4,HS01,Q,S-1160105-2-05-3-05
EA,5,PROD,1160105C-M1D,PL 9/16 x 12 x 1'-0 3/4,HS01,Q,S-1160105-2-04-3-05
EA,6,PROD,1160105C-M1D,PL 9/16 x 12 x 1'-0 3/4,HS01,Q,S-1160105-2-05-3-05
EA,1,PROD,1160105C-M1H,PL 9/16 x 12 x 0'-11 1/4,HS01,Q,S-1160105-2-04-3-05
EA,24,PROD,1160105C-M1K,PL 3/4 x 5 x 0'-9,HS01,Q,S-1160105-2-04-3-05
EA,24,PROD,1160105C-M1K,PL 3/4 x 5 x 0'-9,HS01,Q,S-1160105-2-05-3-05
EA,6,PROD,1160105C-M2A,PL 9/16 x 9 x 1'-0 3/4,HS01,Q,S-1160105-2-05-3-10
EA,6,PROD,1160105C-M2B,PL 9/16 x 9 x 1'-0 3/4,HS01,Q,S-1160105-2-05-3-10
EA,6,PROD,1160105C-M2H,PL 9/16 x 6 1/2 x 1'-4 3/4,HS01,Q,S-1160105-2-05-3-10
EA,6,PROD,1160105C-M2K,PL 9/16 x 6 1/2 x 1'-4 3/4,HS01,Q,S-1160105-2-05-3-10
EA,12,PROD,1160105C-M2M,PL 1/2 x 7 1/4 x 0'-10 3/4,HS01,Q,S-1160105-2-05-3-10
EA,108,PROD,1160105C-M3C,PL 9/16 x 32 x 1'-1 5/8,HS01,Q,S-1160105-2-04-3-06
EA,108,PROD,1160105C-M3C,PL 9/16 x 32 x 1'-1 5/8,HS01,Q,S-1160105-2-05-3-06
EA,27,PROD,1160105C-M3D,PL 11/16 x 15 1/2 x 1'-11,HS01,Q,S-1160105-2-04-3-06
EA,27,PROD,1160105C-M3D,PL 11/16 x 15 1/2 x 1'-11,HS01,Q,S-1160105-2-05-3-06
EA,27,PROD,1160105C-M3F,PL 5/8 x 15 1/2 x 1'-11,HS01,Q,S-1160105-2-04-3-06
EA,27,PROD,1160105C-M3F,PL 5/8 x 15 1/2 x 1'-11,HS01,Q,S-1160105-2-05-3-06
EA,4,PROD,1160105C-M3K,PL 3/16 x 6 1/2 x 2'-8,HS01,Q,S-1160105-2-04-3-06
EA,4,PROD,1160105C-M3K,PL 3/16 x 6 1/2 x 2'-8,HS01,Q,S-1160105-2-05-3-06
EA,72,PROD,1160105C-M3M,PL 9/16 x 32 x 1'-2 1/8,HS01,Q,S-1160105-2-04-3-06
EA,68,PROD,1160105C-M3M,PL 9/16 x 32 x 1'-2 1/8,HS01,Q,S-1160105-2-05-3-06
EA,18,PROD,1160105C-M4A,PL 1 5/16 x 15 1/2 x 1'-6,HS01,Q,S-1160105-2-04-3-13
EA,18,PROD,1160105C-M4A,PL 1 5/16 x 15 1/2 x 1'-6,HS01,Q,S-1160105-2-05-3-13
EA,18,PROD,1160105C-M4B,PL 7/8 x 15 1/2 x 1'-6,HS01,Q,S-1160105-2-04-3-13
EA,18,PROD,1160105C-M4B,PL 7/8 x 15 1/2 x 1'-6,HS01,Q,S-1160105-2-05-3-13
EA,18,PROD,1160105C-M4C,PL 7/16 x 15 1/2 x 1'-6,HS01,Q,S-1160105-2-04-3-13
EA,18,PROD,1160105C-M4C,PL 7/16 x 15 1/2 x 1'-6,HS01,Q,S-1160105-2-05-3-13
EA,2,PROD,1160105C-X1A,PL 3/4 x 30 x 2'-7 1/4,HS01,Q,S-1160105-2-04-3-01
EA,8,PROD,1160105C-X1A,PL 3/4 x 30 x 2'-7 1/4,HS01,Q,S-1160105-2-05-3-01
EA,2,PROD,1160105C-X1D,PL 1 1/4 x 18 x 3'-6 1/4,HS01,Q,S-1160105-2-04-3-01
EA,8,PROD,1160105C-X1D,PL 1 1/4 x 18 x 3'-6 1/4,HS01,Q,S-1160105-2-05-3-01
EA,4,PROD,1160105C-X1K,PL 1 1/4 x 8 x 3'-6 1/4,HS01,Q,S-1160105-2-04-3-01
EA,16,PROD,1160105C-X1K,PL 1 1/4 x 8 x 3'-6 1/4,HS01,Q,S-1160105-2-05-3-01
EA,3,PROD,1160105C-X2AK,PL 1 x 8 x 2'-10,HS01,Q,S-1160105-2-04-3-01
EA,3,PROD,1160105C-X2AK,PL 1 x 8 x 2'-10,HS01,Q,S-1160105-2-05-3-01
EA,1,PROD,1160105C-X2AM,PL 1 x 8 x 2'-10,HS01,Q,S-1160105-2-04-3-01
EA,1,PROD,1160105C-X2AM,PL 1 x 8 x 2'-10,HS01,Q,S-1160105-2-05-3-01
EA,1,PROD,1160105C-X2AN,PL 1 x 8 x 2'-10,HS01,Q,S-1160105-2-04-3-01
EA,1,PROD,1160105C-X2AN,PL 1 x 8 x 2'-10,HS01,Q,S-1160105-2-05-3-01
EA,81,PROD,1160105C-X2AY,PL 1/2 x 6 1/2 x 0'-7,HS01,Q,S-1160105-2-04-3-01
EA,104,PROD,1160105C-X2AY,PL 1/2 x 6 1/2 x 0'-7,HS01,Q,S-1160105-2-05-3-01
EA,8,PROD,1160105C-X2H,PL 1 x 8 x 2'-10,HS01,Q,S-1160105-2-04-3-01
EA,11,PROD,1160105C-X2H,PL 1 x 8 x 2'-10,HS01,Q,S-1160105-2-05-3-01
EA,4,PROD,1160105C-X2K,PL 1 x 8 x 2'-10,HS01,Q,S-1160105-2-04-3-01
EA,6,PROD,1160105C-X2K,PL 1 x 8 x 2'-10,HS01,Q,S-1160105-2-05-3-01
EA,1,PROD,1160105C-X2M,PL 1 x 8 x 2'-10,HS01,Q,S-1160105-2-04-3-01
EA,1,PROD,1160105C-X2M,PL 1 x 8 x 2'-10,HS01,Q,S-1160105-2-05-3-01
EA,1,PROD,1160105C-X2P,PL 1 x 8 x 2'-10,HS01,Q,S-1160105-2-05-3-01
EA,4,PROD,1160105C-X3AA,PL 5/8 x 8 x 2'-9 1/2,HS01,Q,S-1160105-2-04-3-01
EA,4,PROD,1160105C-X3AA,PL 5/8 x 8 x 2'-9 1/2,HS01,Q,S-1160105-2-05-3-01
